J,T,sigma_s
-1733.870968,448.15,-0.675055635
-1572.580645,448.15,-0.388441061
-1250,448.15,-2.230747077
-604.8387097,448.15,-0.289650192
-564.516129,448.15,-0.112270955
-524.1935484,448.15,-0.477343723
-443.5483871,448.15,-0.124448068
-40.32258065,448.15,-0.341684056
362.9032258,448.15,0.060124145
443.5483871,448.15,0.097400197
645.1612903,448.15,0.411502366
645.1612903,448.15,0.209208536
2701.612903,448.15,0.488604507
3104.83871,448.15,0.479206138
3346.774194,448.15,0.451713626
4072.580645,448.15,0.586247828
5846.774194,448.15,0.743451902
7016.129032,448.15,0.796922139
8225.806452,448.15,0.988002473
11572.58065,448.15,1.2586066
13951.6129,448.15,1.38710372
14112.90323,448.15,1.457937928
18427.41935,448.15,1.757530773
22862.90323,448.15,2.092218018
24596.77419,448.15,2.166905671
28427.41935,448.15,2.427198014
32580.64516,448.15,2.69286741
35000,448.15,2.806693624
39919.35484,448.15,3.110725919
45282.25806,448.15,3.429095508
48709.67742,448.15,3.585193357
53750,448.15,3.857212626
59596.77419,448.15,4.167229439
66451.6129,448.15,4.537379438
70241.93548,448.15,4.693964139
75483.87097,448.15,4.933315224
82258.06452,448.15,5.263861921
88387.09677,448.15,5.539696435
92903.22581,448.15,5.71151273
100322.5806,448.15,6.050133738
107701.6129,448.15,6.382768003
113024.1935,448.15,6.590209885
119233.871,448.15,6.81391809
127983.871,448.15,7.185210956
134919.3548,448.15,7.455681427
140846.7742,448.15,7.665331352
148467.7419,448.15,7.951194365
157419.3548,448.15,8.30276413
165080.6452,448.15,8.564172814
171572.5806,448.15,8.785120739
177701.6129,448.15,8.966592455
185080.6452,448.15,9.230899936
190806.4516,448.15,9.384301853
202016.129,448.15,9.792645571
210524.1935,448.15,10.09466907
219032.2581,448.15,10.36368018
225080.6452,448.15,10.51537611
233467.7419,448.15,10.77847423
242459.6774,448.15,11.05504689
250887.0968,448.15,11.31055797
260806.4516,448.15,11.64892161
267822.5806,448.15,11.81765255
273951.6129,448.15,11.96754746
285443.5484,448.15,12.33124756
294959.6774,448.15,12.60117321
300241.9355,448.15,12.71681472
312217.7419,448.15,13.07418145
320362.9032,448.15,13.28854631
329274.1935,448.15,13.51938952
339193.5484,448.15,13.77775945
346250,448.15,13.94429618
357096.7742,448.15,14.2508655
365201.6129,448.15,14.4464784
374758.0645,448.15,14.67857886
385282.2581,448.15,14.96125573
392137.0968,448.15,15.08215048
403104.8387,448.15,15.38744037
410564.5161,448.15,15.53820032
421653.2258,448.15,15.82556358
432701.6129,448.15,16.09471144
440604.8387,448.15,16.25098988
450322.5806,448.15,16.50514604
459072.5806,448.15,16.70246716
470201.6129,448.15,16.96609253
479435.4839,448.15,17.17322957
490120.9677,448.15,17.40448549
